rank,dimension,metric,name,failed,applicable,failure_rate
1,PTB,PTB.PTB2,无硬编码路径,226,229,0.9868995633187773
2,CMP,CMP.CMP1,共享环境可启动,219,229,0.9563318777292577
3,MTN,MTN.MTN4,认知复杂度合规,170,229,0.74235807860262
4,RLY,RLY.RLY1,长时/重复执行无故障,170,234,0.7264957264957265
5,PTB,PTB.PTB4,显式编码声明,168,229,0.7336244541484717
6,CMP,CMP.CLI,CLI 接口契约完全符合,161,234,0.688034188034188
7,MTN,MTN.MTN1,无超大单文件,132,229,0.5764192139737991
8,PERF,PERF.PERF4,限时正确通过,124,234,0.5299145299145299
9,PTB,PTB.PTB6,无平台强绑定,100,229,0.4366812227074236
10,PTB,PTB.PTB3,日志不写源码目录,65,229,0.2838427947598253
